股票代號,股票名稱,券商名稱,買進金額,買進股數,賣出金額,賣出股數,買賣超金額,買超比率
3227,原相,玉山-士林,1796300.0,1397000.0,347680.0,248000.0,1448620.0,1.3655596949959046
2308,台達電,元富,3285280.0,4142000.0,2250160.0,2130000.0,1035120.0,1.3437119041799135
1802,台玻,日盛-雙和,2439260.0,999000.0,0.0,0.0,2439260.0,1.3288717637603924
3443,創意,國泰,2584850.0,1833000.0,1503330.0,1227000.0,1081520.0,1.325184284818068
6269,台郡,國泰,8811710.0,8328000.0,7908460.0,7313000.0,903250.0,1.3100496216193793
3293,鈊象,第一金-桃園,756150.0,705000.0,0.0,0.0,756150.0,1.3055975368468926
6202,盛群,永豐金,14378400.0,10062000.0,12435620.0,8473000.0,1942780.0,1.2888049342339847
3227,原相,凱基-高美館,1361000.0,860000.0,0.0,0.0,1361000.0,1.2829636101181996
6202,盛群,中國信託,2374390.0,1206000.0,440580.0,246000.0,1933810.0,1.2828543992994688
8086,宏捷科,永豐金-天母,2269850.0,1695000.0,568000.0,400000.0,1701850.0,1.2486028098974067
2338,光罩,群益金鼎-經國,4055940.0,2712000.0,1172360.0,711000.0,2883580.0,1.2330380196201332
6224,聚鼎,兆豐-小港,849000.0,700000.0,0.0,0.0,849000.0,1.2319216584886803
6278,台表科,永豐金,7820770.0,11299000.0,6859270.0,12751000.0,961500.0,1.2252287794580552
1605,華新,永豐金-員林,1314900.0,300000.0,0.0,0.0,1314900.0,1.2237992801651538
2338,光罩,永豐金,32504490.0,32114000.0,29663890.0,31637000.0,2840600.0,1.2146594852693353
3014,聯陽,國票,4160420.0,2347000.0,3062110.0,2500000.0,1098310.0,1.20606199034105
8044,網家,玉山-新竹,2327100.0,4210000.0,775000.0,1500000.0,1552100.0,1.2031025643967217
6278,台表科,群益金鼎,7477740.0,5297000.0,6540930.0,4600000.0,936810.0,1.1937665864629232
2317,鴻海,凱基-中港,10707260.0,8564000.0,7584320.0,6129000.0,3122940.0,1.192613262916244
1802,台玻,永豐金,18136060.0,11247000.0,15955240.0,11246000.0,2180820.0,1.1880775808417054
2351,順德,玉山-台中,865900.0,599000.0,26050.0,15000.0,839850.0,1.163710844355112
3003,健和興,元大,16715650.0,10798000.0,15832730.0,9628000.0,882920.0,1.1628216322859088
2393,億光,元富-吉利,1604660.0,1109000.0,387470.0,440000.0,1217190.0,1.1605075612856377
8016,矽創,凱基,20590180.0,12196000.0,18020770.0,10755000.0,2569410.0,1.1590398167917664
8081,致新,統一,10615710.0,8427000.0,8301870.0,7071000.0,2313840.0,1.1558003184415098
6271,同欣電,元富,13404860.0,10194000.0,9829690.0,7334000.0,3575170.0,1.1522059343679918
2027,大成鋼,日盛,6244020.0,3047000.0,1577640.0,505000.0,4666380.0,1.1212729780368056
5009,榮剛,凱基-台北,1093100.0,1060000.0,27500.000000000004,20000.0,1065600.0,1.1210123111474029
3227,原相,元大-松江,1686370.0,1178000.0,508360.0,342000.0,1178010.0,1.1104658062860693
6138,茂達,國票,2007310.0,1296000.0,942330.0,590000.0,1064980.0,1.0588211549877826
8044,網家,富邦-板橋,1351280.0,1340000.0,2130.0,1000.0,1349150.0,1.0457868853526429
6269,台郡,群益金鼎,11930690.0,11100000.0,11212190.0,10608000.0,718500.0,1.0420931670451417
2327,國巨,群益金鼎-敦南,5090690.0,3863000.0,2483470.0,2129000.0,2607220.0,1.0209289614790231
2327,國巨,永豐金,22291120.0,18305000.0,19688290.0,16201000.0,2602830.0,1.0192099357961528
2303,聯電,統一,8635040.0,19695000.0,5400860.0,10480000.0,3234180.0,0.9993102856304892
6182,合晶,元大,25903100.0,9756000.0,23961330.0,9651000.0,1941770.0,0.9847366004428086
2727,王品,凱基-台北,665910.0,619000.0,40290.0,51000.0,625620.0,0.9790952016009322
5483,中美晶,群益金鼎,24862750.0,12329000.0,22905180.0,11405000.0,1957570.0,0.9760699637887252
4721,美琪瑪,永豐金,12285560.0,10681000.0,11285220.0,9700000.0,1000340.0,0.9659717864085489
1605,華新,群益金鼎,14897890.0,10428000.0,13864560.0,10963000.0,1033330.0,0.9617374022154219
2379,瑞昱,統一,9957800.0,12780000.0,8824590.0,11811000.0,1133210.0,0.9431565119130718
5425,台半,元富,9858140.0,6441000.0,8536440.0,5595000.0,1321700.0,0.9388589507382833
8436,大江,元富-吉利,5658580.0,4817000.0,4233540.0,3535000.0,1425040.0,0.9324729259995862
3014,聯陽,玉山-城中,845400.0,3570000.0,0.0,0.0,845400.0,0.9283397279769133
4739,康普,元大-文心,1787000.0,1005000.0,673550.0,435000.0,1113450.0,0.9123165063534002
2492,華新科,群益金鼎-敦南,1949740.0,1760000.0,1404770.0,926000.0,544970.0,0.8905642222846468
6269,台郡,元大-龍潭,664540.0,565000.0,65700.0,55000.0,598840.0,0.8685415061284795
2379,瑞昱,中國信託-文心,1041090.0,399000.0,0.0,0.0,1041090.0,0.8664861878977241
3042,晶技,國票-安和,1089790.0,787000.0,0.0,0.0,1089790.0,0.8566910480230915
4739,康普,群益金鼎,12882880.0,7925000.0,11839130.0,7780000.0,1043750.0,0.8552071071950795
6182,合晶,國票,8827670.0,4164000.0,7204580.0,3660000.0,1623090.0,0.8231232992644435
3003,健和興,兆豐-小港,621000.0,400000.0,0.0,0.0,621000.0,0.8178682481420168
5425,台半,統一,1476220.0,870000.0,339720.0,210000.0,1136500.0,0.8073036222395845
3034,聯詠,元富,10568780.0,10659000.0,8675000.0,9256000.0,1893780.0,0.7876788720192988
2338,光罩,永豐金-彰化,1809020.0,1453000.0,3900.0,10000.0,1805120.0,0.7718813384670078
